iter	RMSE
0	754.8396764
1	680.9392139
2	615.1131138
3	554.6891848
4	501.2707801
5	453.3750206
6	409.4880729
7	369.8831409
8	334.8228733
9	303.8670056
10	274.5911501
11	247.984708
12	223.884573
13	202.7138211
14	183.6327258
15	165.9577228
16	150.3440685
17	136.6936834
18	123.9201158
19	112.4300428
20	102.1496914
21	92.7633416
22	84.28402235
23	77.08388243
24	70.40448355
25	64.25420027
26	58.75200654
27	54.01495488
28	49.89084894
29	46.09055052
30	42.69130634
31	39.52612368
32	36.85227594
33	34.58142369
34	32.45140776
35	30.68598709
36	28.83936041
37	27.09595547
38	25.65109158
39	24.47262314
40	23.29651797
41	22.25719437
42	21.41441242
43	20.53974813
44	19.9377229
45	19.24513138
46	18.81256859
47	18.26973258
48	17.75303587
49	17.40640441
50	16.89830964
51	16.58819309
52	16.34979531
53	16.12844759
54	15.93705435
55	15.57199152
56	15.36580146
57	15.21616376
58	15.05415625
59	14.91663693
60	14.78570104
61	14.69052621
62	14.38307807
63	14.30993241
64	14.20921135
65	14.12380201
66	13.89962373
67	13.67219706
68	13.60798037
69	13.53352238
70	13.46265205
71	13.2270902
72	13.1670764
73	13.01816577
74	12.88136357
75	12.81441126
76	12.74844155
77	12.61172507
78	12.5391072
79	12.46373721
80	12.4008237
81	12.24024886
82	12.20279346
83	12.17944892
84	12.12354777
85	12.06883894
86	11.94568746
87	11.8803221
88	11.70044806
89	11.61285985
90	11.4962239
91	11.43070463
92	11.35178904
93	11.29160754
94	11.23328821
95	11.18126268
96	11.14158465
97	11.04555227
98	10.84873117
99	10.80115419
