iter	Passed	Remaining
0	13	1373
1	26	1316
2	39	1288
3	53	1274
4	66	1257
5	79	1244
6	92	1227
7	105	1212
8	117	1190
9	130	1178
10	143	1163
11	156	1149
12	170	1137
13	182	1121
14	195	1107
15	208	1092
16	221	1079
17	234	1068
18	247	1054
19	261	1044
20	274	1031
21	287	1019
22	300	1006
23	313	993
24	327	982
25	340	968
26	353	956
27	367	944
28	380	932
29	394	920
30	407	906
31	420	892
32	433	879
33	446	866
34	459	854
35	473	841
36	487	829
37	500	816
38	513	803
39	525	788
40	539	775
41	551	762
42	565	749
43	578	735
44	592	723
45	605	710
46	618	697
47	630	683
48	643	669
49	656	656
50	669	643
51	683	630
52	696	617
53	709	604
54	722	590
55	735	577
56	748	564
57	761	551
58	774	538
59	787	525
60	801	512
61	814	498
62	827	486
63	840	472
64	853	459
65	866	446
66	878	432
67	892	419
68	905	406
69	917	393
70	930	379
71	942	366
72	955	353
73	968	340
74	980	326
75	993	313
76	1006	300
77	1019	287
78	1032	274
79	1044	261
80	1057	248
81	1070	234
82	1083	221
83	1096	208
84	1109	195
85	1122	182
86	1135	169
87	1149	156
88	1162	143
89	1175	130
90	1188	117
91	1200	104
92	1213	91
93	1225	78
94	1238	65
95	1251	52
96	1264	39
97	1277	26
98	1290	13
99	1303	0
